Type,Date,Notes,Short URL,Summary
photo,2014-12-29 03:54:59 GMT,54860,https://tmblr.co/Z9EhZn1ZAPviG,John Singer Sargent | Madame X | 1884
photo,2015-05-27 01:01:37 GMT,16248,https://tmblr.co/Z9EhZn1llTqc2,Francois Boucher | Madame de Pompadour | 1756
photo,2014-12-15 00:04:05 GMT,7845,https://tmblr.co/Z9EhZn1X-ZpsM,Johannes Vermeer | A Lady Writing a Letter | c.1665
photo,2016-01-19 03:00:59 GMT,6533,https://tmblr.co/Z9EhZn209GPMU,Reginald Arthur | The Death of Cleopatra | 1892
photo,2014-11-16 19:01:38 GMT,5814,https://tmblr.co/Z9EhZn1VlR0sA,Alfred Stevens | The Bath | c.1867
photo,2015-01-22 02:01:41 GMT,5454,https://tmblr.co/Z9EhZn1bKAoND,Diego Velázquez | The Lady with a Fan | 1639
photo,2014-11-21 01:36:32 GMT,5106,https://tmblr.co/Z9EhZn1W5AJzw,Caravaggio | Bacchus | 1595
photo,2015-01-23 02:01:25 GMT,4949,https://tmblr.co/Z9EhZn1bPXuhz,Jacques Louise David | Cupid and Psyche | 1817
photo,2015-07-15 01:08:24 GMT,4432,https://tmblr.co/Z9EhZn1pbjEvn,Edward Hopper | Morning Sun | 1952
photo,2015-05-10 19:27:02 GMT,4069,https://tmblr.co/Z9EhZn1kUxuQO,Pierre-Georges Jeanniot | La Folle | 1899
photo,2015-02-13 02:01:37 GMT,3901,https://tmblr.co/Z9EhZn1dFkLOn,"Georgia O'Keeffe | Grey Line with Black, Blue and Yellow | 1923"
photo,2015-05-25 01:01:47 GMT,3800,https://tmblr.co/Z9EhZn1lbAEdr,Gustav Klimt | The Kiss | 1909
photo,2015-01-21 02:01:48 GMT,3781,https://tmblr.co/Z9EhZn1bEjIAS,Gustave Courbet | The Bathers | 1853
photo,2015-07-29 00:01:11 GMT,3721,https://tmblr.co/Z9EhZn1qiLcH-,Felix Vallotton | Woman with a Black Hat | 1908
photo,2015-01-26 02:01:47 GMT,3659,https://tmblr.co/Z9EhZn1bgX8tg,Caspar David Friedrich | Wanderer Above the Sea of Fog | 1818
photo,2015-02-06 02:02:23 GMT,3634,https://tmblr.co/Z9EhZn1cf6Xk0,Joseph Siffred Duplessis | Madame de Saint-Maurice | 1776
photo,2014-12-10 22:01:35 GMT,3086,https://tmblr.co/Z9EhZn1XgqtuR,Wayne Thiebaud | Cakes | 1963
photo,2015-09-20 23:31:02 GMT,3046,https://tmblr.co/Z9EhZn1ueW195,Peter Paul Rubens | Jupiter and Callisto | 1613
photo,2015-05-20 01:01:35 GMT,3011,https://tmblr.co/Z9EhZn1lD1TJZ,Orazio Gentileschi | Judith and Her Maidservant with the Head of Holofernes | 1624
photo,2015-01-20 02:01:46 GMT,2889,https://tmblr.co/Z9EhZn1b9CRD1,Edgar Degas | M. and Mme Édouard Manet | 1869
photo,2015-06-12 01:01:37 GMT,2676,https://tmblr.co/Z9EhZn1m_tumL,Winslow Homer | The Undertow | 1886
photo,2015-04-08 02:32:43 GMT,2597,https://tmblr.co/Z9EhZn1htCCOV,Gustave Courbet | The Desperate Man | 1845
photo,2014-11-27 01:01:42 GMT,2518,https://tmblr.co/Z9EhZn1WZxdS0,Jan Steen | Beware of Luxury | c.1665
photo,2014-12-30 04:37:04 GMT,2507,https://tmblr.co/Z9EhZn1ZGZZ6s,Sandro Botticelli | Annunciazione di Cestello | 1490
photo,2015-10-26 02:00:51 GMT,2464,https://tmblr.co/Z9EhZn1wtAyoF,Matthias Stom | The Annunciation | Early 17th Century
photo,2015-05-14 01:01:45 GMT,2424,https://tmblr.co/Z9EhZn1klN7kK,William Dyce | Francesca da Rimini | 1837
photo,2015-02-27 02:01:26 GMT,2071,https://tmblr.co/Z9EhZn1eUjqI8,Peter Paul Rubens | Samson and Delilah | 1610
photo,2014-10-31 04:01:29 GMT,2023,https://tmblr.co/Z9EhZn1URcSvO,Francis Bacon | Pope Innocent X | 1953
photo,2015-10-12 00:01:25 GMT,2010,https://tmblr.co/Z9EhZn1v-DhvI,Frederick Sandys | Love’s Shadow | 1867
photo,2015-06-28 21:01:24 GMT,1939,https://tmblr.co/Z9EhZn1oHkpsM,William Adolphe Bouguereau | The First Mourning | 1888
photo,2014-11-13 02:01:24 GMT,1916,https://tmblr.co/Z9EhZn1VTBMuF,Édouard Manet | Olympia | 1863
photo,2015-02-25 02:01:29 GMT,1902,https://tmblr.co/Z9EhZn1eK19_l,Rene Magritte | Collective Invention | 1934
photo,2015-02-23 00:01:14 GMT,1827,https://tmblr.co/Z9EhZn1e8G5tb,Pablo Picasso | At The Lapin Agile | 1905
photo,2015-09-24 02:00:58 GMT,1753,https://tmblr.co/Z9EhZn1urkPh-,James Tissot | Young Lady In A Boat | 1870
photo,2015-05-18 01:01:21 GMT,1751,https://tmblr.co/Z9EhZn1l3AgQH,Amedeo Modigliani | Frans Hellens | 1919
photo,2016-02-04 03:01:07 GMT,1668,https://tmblr.co/Z9EhZn217qpXl,Jacques-Louis David | Oath of the Horatii | 1784
photo,2014-11-05 02:01:18 GMT,1580,https://tmblr.co/Z9EhZn1UqE8om,Rosa Bonheur | Plowing the Nivernais | 1849
photo,2015-10-19 02:01:00 GMT,1523,https://tmblr.co/Z9EhZn1wRgIgn,Joseph Paelinck | Orpheus and Eurydice | 1818
photo,2015-02-17 02:06:05 GMT,1445,https://tmblr.co/Z9EhZn1dcA9F6,Hans Holbein the Younger | Portrait of Henry VIII | 1540 
photo,2016-02-02 01:46:00 GMT,1200,https://tmblr.co/Z9EhZn2106gfx,Archibald J. Motley Jr. | Brown Girl After the Bath | 1931
photo,2016-10-05 03:14:01 GMT,1130,https://tmblr.co/Z9EhZn2C_3EWi,Vincent Van Gogh | Wheatfield with Crows | 1890
